id,name,ancestry
1,レディース,
2,メンズ,
3,ベビー・キッズ,
4,インテリア・住まい・小物,
5,本・音楽・ゲーム,
6,おもちゃ・ホビー・グッズ,
7,コスメ・香水・美容,
8,家電・スマホ・カメラ,
9,スポーツ・レジャー,
10,ハンドメイド,
11,チケット,
12,自転車・オートバイ,
13,その他,
14,トップス,1
15,ジャケット/アウター,1
16,パンツ,1
17,スカート,1
18,ワンピース,1
19,靴,1
20,ルームウェア/パジャマ,1
21,レッグウェア,1
22,帽子,1
23,バッグ,1
24,アクセサリー,1
25,ヘアアクセサリー,1
26,小物,1
27,時計,1
28,Tシャツ/カットソー(半袖/袖なし ),1/14
29,Tシャツ/カットソー(七分/長袖),1/14
30,シャツ/ブラウス(半袖/袖なし ),1/14
31,シャツ/ブラウス(七分/長袖),1/14
32,ポロシャツ,1/14
33,キャミソール,1/14
34,タンクトップ,1/14
35,ホルターネック,1/14
36,ニット/セーター,1/14
37,チュニック,1/14
38,カーディガン/ボレロ,1/14
39,アンサンブル,1/14
40,ベスト,1/14
41,ジレ,1/14
42,テーラードジャケット,1/15
43,ノーカラージャケット,1/15
44,Gジャン/デニムジャケット,1/15
45,レザージャケット,1/15
46,ダウンジャケット,1/15
47,ライダースジャケット,1/15
48,ミリタリージャケット,1/15
49,ダウンベスト,1/15
50,ジャンパー/ブルゾン,1/15
51,デニム/ジーンズ,1/16
52,ショートパンツ,1/16
53,カジュアルパンツ,1/16
54,ハーフパンツ,1/16
55,チノパン,1/16
56,ワークパンツ/カーゴパンツ,1/16
57,クロップドパンツ,1/16
58,サロペット/オーバーオール,1/16
59,ミニスカート,1/17
60,ひざ丈スカート,1/17
61,ロングスカート,1/17
62,キュロット,1/17
63,ハイヒール/パンプス,1/19
64,ブーツ,1/19
65,サンダル,1/19
66,スニーカー,1/19
67,トップス,2
68,ジャケット/アウター,2
69,パンツ,2
70,靴,2
71,バッグ,2
72,スーツ,2
73,帽子,2
74,アクセサリー,2
75,小物,2
76,時計,2
77,水着,2
78,レッグウェア,2
79,アンダーウェア,2
80,Tシャツ/カットソー(半袖/袖なし ),2/67
81,Tシャツ/カットソー(七分/長袖),2/67
82,シャツ/ブラウス(半袖/袖なし ),2/67
83,シャツ/ブラウス(七分/長袖),2/67
84,ポロシャツ,2/67
85,タンクトップ,2/67
86,ニット/セーター,2/67
87,パーカー,2/67
88,カーディガン,2/67
89,スウェット,2/67
90,ジャージ,2/67
91,ベスト,2/67
92,テーラードジャケット,2/68
93,ノーカラージャケット,2/68
94,Gジャン/デニムジャケット,2/68
95,レザージャケット,2/68
96,ダウンジャケット,2/68
97,ライダースジャケット,2/68
98,ミリタリージャケット,2/68
99,ナイロンジャケット,2/68
100,フライトジャケット,2/68
101,ダッフルコート,2/68
102,ピーコート,2/68
103,トレンチコート,2/68
104,モッズコート,2/68
105,ステンカラーコート,2/68
106,デニム/ジーンズ,2/69
107,ワークパンツ/カーゴパンツ,2/69
108,スラックス,2/69
109,チノパン,2/69
110,ショートパンツ,2/69
111,サルエル,2/69
112,スニーカー,2/70
113,サンダル,2/70
114,ブーツ,2/70
115,モカシン,2/70
116,ビジネス,2/70
117,デッキシューズ,2/70
118,ベビー服,3
119,キッズ服,3
120,ベビー家具,3
121,キッチン,4
122,ベッド,4
123,ソファ,4
124,本,5
125,漫画,5
126,雑誌,5
127,CD,5
128,おもちゃ,6
129,アニメグッズ,6
130,フィギュア,6
131,香水,7
132,ヘアケア,7
133,ベースメイク,7
134,スマートフォン,8
135,携帯,8
136,カメラ,8
137,自転車,9
138,フィッシング,9
139,ゴルフ,9
140,アクセサリー,10
141,素材/材料,10
142,音楽,11
143,スポーツ,11
144,イベント,11
145,自転車　本体,12
146,自転車　ホイール,12
147,オートバイ,12
148,まとめ売り,13
149,ペット用品,13
